time,soc,power
2017-08-06 03:15:00+00:00,20.0,8.0
2017-08-06 03:30:00+00:00,20.0,8.0
2017-08-06 03:45:00+00:00,20.0,8.0
2017-08-06 04:00:00+00:00,21.0,8.0
2017-08-06 04:15:00+00:00,21.0,12.0
2017-08-06 04:30:00+00:00,21.0,184.0
2017-08-06 04:45:00+00:00,21.0,260.0
2017-08-06 05:00:00+00:00,21.0,20.0
2017-08-06 05:15:00+00:00,22.0,212.0
2017-08-06 05:30:00+00:00,23.0,408.0
2017-08-06 05:45:00+00:00,24.0,768.0
2017-08-06 06:00:00+00:00,26.0,668.0
2017-08-06 06:15:00+00:00,28.0,808.0
2017-08-06 06:30:00+00:00,30.0,1520.0
2017-08-06 06:45:00+00:00,34.0,848.0
2017-08-06 07:00:00+00:00,36.0,1692.0
2017-08-06 07:15:00+00:00,41.0,1148.0
2017-08-06 07:30:00+00:00,43.0,1572.0
2017-08-06 07:45:00+00:00,47.0,2596.0
2017-08-06 08:00:00+00:00,53.0,3196.0
2017-08-06 08:15:00+00:00,61.0,3432.0
2017-08-06 08:30:00+00:00,69.0,2752.0
2017-08-06 08:45:00+00:00,75.0,1796.0
2017-08-06 09:00:00+00:00,79.0,1140.0
2017-08-06 09:15:00+00:00,81.0,1784.0
2017-08-06 09:30:00+00:00,85.0,1368.0
2017-08-06 09:45:00+00:00,85.0,16.0
2017-08-06 10:00:00+00:00,85.0,12.0
2017-08-06 10:15:00+00:00,85.0,12.0
2017-08-06 10:30:00+00:00,85.0,60.0
2017-08-06 10:45:00+00:00,86.0,12.0
2017-08-06 11:00:00+00:00,86.0,12.0
2017-08-06 11:15:00+00:00,86.0,44.0
2017-08-06 11:30:00+00:00,86.0,-700.0
2017-08-06 11:45:00+00:00,86.0,1380.0
2017-08-06 12:00:00+00:00,86.0,-32.0
2017-08-06 12:15:00+00:00,87.0,208.0
2017-08-06 12:30:00+00:00,87.0,-948.0
2017-08-06 12:45:00+00:00,85.0,-1276.0
2017-08-06 13:00:00+00:00,85.0,200.0
2017-08-06 13:15:00+00:00,82.0,-776.0
2017-08-06 13:30:00+00:00,80.0,-1376.0
2017-08-06 13:45:00+00:00,80.0,104.0
2017-08-06 14:00:00+00:00,79.0,1304.0
2017-08-06 14:15:00+00:00,82.0,1108.0
2017-08-06 14:30:00+00:00,84.0,612.0
2017-08-06 14:45:00+00:00,86.0,1008.0
2017-08-06 15:00:00+00:00,86.0,16.0
2017-08-06 15:15:00+00:00,86.0,8.0
2017-08-06 15:30:00+00:00,86.0,12.0
2017-08-06 15:45:00+00:00,86.0,12.0
2017-08-06 16:00:00+00:00,86.0,12.0
2017-08-06 16:15:00+00:00,86.0,12.0
2017-08-06 16:30:00+00:00,86.0,8.0
2017-08-06 16:45:00+00:00,85.0,-100.0
2017-08-06 17:00:00+00:00,85.0,-384.0
2017-08-06 17:15:00+00:00,84.0,-484.0
2017-08-06 17:30:00+00:00,83.0,-584.0
2017-08-06 17:45:00+00:00,81.0,-488.0
2017-08-06 18:00:00+00:00,80.0,-484.0
2017-08-06 18:15:00+00:00,79.0,-588.0
2017-08-06 18:30:00+00:00,77.0,-584.0
2017-08-06 18:45:00+00:00,75.0,-488.0
2017-08-06 19:00:00+00:00,74.0,-484.0
2017-08-06 19:15:00+00:00,73.0,-484.0
2017-08-06 19:30:00+00:00,71.0,-488.0
2017-08-06 19:45:00+00:00,70.0,-484.0
2017-08-06 20:00:00+00:00,69.0,-488.0
2017-08-06 20:15:00+00:00,67.0,-388.0
2017-08-06 20:30:00+00:00,66.0,-388.0
2017-08-06 20:45:00+00:00,65.0,-388.0
2017-08-06 21:00:00+00:00,64.0,-384.0
2017-08-06 21:15:00+00:00,63.0,-292.0
2017-08-06 21:30:00+00:00,62.0,-288.0
2017-08-06 21:45:00+00:00,61.0,-288.0
2017-08-06 22:00:00+00:00,60.0,-216.0
2017-08-06 22:15:00+00:00,60.0,-192.0
2017-08-06 22:30:00+00:00,59.0,-192.0
2017-08-06 22:45:00+00:00,58.0,-244.0
2017-08-06 23:00:00+00:00,58.0,-244.0
2017-08-06 23:15:00+00:00,57.0,-176.0
2017-08-06 23:30:00+00:00,56.0,-204.0
2017-08-06 23:45:00+00:00,56.0,-248.0
2017-08-07 00:00:00+00:00,55.0,-200.0
2017-08-07 00:15:00+00:00,54.0,-208.0
2017-08-07 00:30:00+00:00,54.0,-188.0
2017-08-07 00:45:00+00:00,53.0,-276.0
2017-08-07 01:00:00+00:00,52.0,-168.0
2017-08-07 01:15:00+00:00,52.0,-216.0
2017-08-07 01:30:00+00:00,51.0,-212.0
2017-08-07 01:45:00+00:00,50.0,-256.0
2017-08-07 02:00:00+00:00,50.0,-168.0
2017-08-07 02:15:00+00:00,49.0,-212.0
2017-08-07 02:30:00+00:00,48.0,-244.0
2017-08-07 02:45:00+00:00,48.0,-244.0
2017-08-07 03:00:00+00:00,47.0,-184.0
2017-08-07 03:15:00+00:00,46.0,-236.0
2017-08-07 03:30:00+00:00,46.0,-252.0
2017-08-07 03:45:00+00:00,45.0,-232.0
2017-08-07 04:00:00+00:00,44.0,-240.0
2017-08-07 04:15:00+00:00,43.0,-336.0
2017-08-07 04:30:00+00:00,43.0,40.0
2017-08-07 04:45:00+00:00,44.0,384.0
2017-08-07 05:00:00+00:00,45.0,632.0
2017-08-07 05:15:00+00:00,46.0,840.0
2017-08-07 05:30:00+00:00,49.0,1012.0
2017-08-07 05:45:00+00:00,51.0,1156.0
2017-08-07 06:00:00+00:00,54.0,1300.0
2017-08-07 06:15:00+00:00,57.0,1424.0
2017-08-07 06:30:00+00:00,61.0,1540.0
2017-08-07 06:45:00+00:00,64.0,1636.0
2017-08-07 07:00:00+00:00,68.0,1740.0
2017-08-07 07:15:00+00:00,73.0,1820.0
2017-08-07 07:30:00+00:00,77.0,1900.0
2017-08-07 07:45:00+00:00,81.0,2028.0
2017-08-07 08:00:00+00:00,81.0,24.0
2017-08-07 08:15:00+00:00,84.0,84.0
2017-08-07 08:30:00+00:00,84.0,-2388.0
2017-08-07 08:45:00+00:00,78.0,-4168.0
2017-08-07 09:00:00+00:00,66.0,-3636.0
2017-08-07 09:15:00+00:00,56.0,-3552.0
2017-08-07 09:30:00+00:00,46.0,-720.0
2017-08-07 09:45:00+00:00,44.0,-2616.0
2017-08-07 10:00:00+00:00,36.0,-3236.0
2017-08-07 10:15:00+00:00,27.0,-1848.0
2017-08-07 10:30:00+00:00,27.0,-140.0
2017-08-07 10:45:00+00:00,21.0,-156.0
2017-08-07 11:00:00+00:00,21.0,-40.0
2017-08-07 11:15:00+00:00,21.0,192.0
2017-08-07 11:30:00+00:00,20.0,8.0
2017-08-07 11:45:00+00:00,20.0,-148.0
2017-08-07 12:00:00+00:00,20.0,8.0
2017-08-07 12:15:00+00:00,20.0,8.0
2017-08-07 12:30:00+00:00,20.0,8.0
2017-08-07 12:45:00+00:00,20.0,12.0
2017-08-07 13:00:00+00:00,20.0,4.0
2017-08-07 13:15:00+00:00,21.0,8.0
2017-08-07 13:30:00+00:00,21.0,172.0
2017-08-07 13:45:00+00:00,21.0,8.0
2017-08-07 14:00:00+00:00,21.0,140.0
2017-08-07 14:15:00+00:00,21.0,248.0
2017-08-07 14:30:00+00:00,21.0,52.0
2017-08-07 14:45:00+00:00,22.0,304.0
2017-08-07 15:00:00+00:00,22.0,264.0
2017-08-07 15:15:00+00:00,23.0,-240.0
2017-08-07 15:30:00+00:00,23.0,1028.0
2017-08-07 15:45:00+00:00,25.0,420.0
2017-08-07 16:00:00+00:00,27.0,1528.0
2017-08-07 16:15:00+00:00,31.0,1512.0
2017-08-07 16:30:00+00:00,34.0,1396.0
2017-08-07 16:45:00+00:00,38.0,1008.0
2017-08-07 17:00:00+00:00,41.0,468.0
2017-08-07 17:15:00+00:00,42.0,316.0
2017-08-07 17:30:00+00:00,40.0,-608.0
2017-08-07 17:45:00+00:00,41.0,556.0
2017-08-07 18:00:00+00:00,40.0,-268.0
2017-08-07 18:15:00+00:00,40.0,-52.0
2017-08-07 18:30:00+00:00,39.0,-284.0
2017-08-07 18:45:00+00:00,38.0,-252.0
2017-08-07 19:00:00+00:00,37.0,-272.0
2017-08-07 19:15:00+00:00,36.0,-212.0
2017-08-07 19:30:00+00:00,35.0,-284.0
2017-08-07 19:45:00+00:00,35.0,-232.0
2017-08-07 20:00:00+00:00,34.0,-200.0
2017-08-07 20:15:00+00:00,33.0,-224.0
2017-08-07 20:30:00+00:00,32.0,-252.0
2017-08-07 20:45:00+00:00,32.0,-192.0
2017-08-07 21:00:00+00:00,31.0,-196.0
2017-08-07 21:15:00+00:00,30.0,-236.0
2017-08-07 21:30:00+00:00,30.0,-240.0
2017-08-07 21:45:00+00:00,29.0,-200.0
2017-08-07 22:00:00+00:00,29.0,12.0
2017-08-07 22:15:00+00:00,28.0,-360.0
2017-08-07 22:30:00+00:00,27.0,-228.0
2017-08-07 22:45:00+00:00,27.0,-164.0
2017-08-07 23:00:00+00:00,26.0,-248.0
2017-08-07 23:15:00+00:00,25.0,-232.0
2017-08-07 23:30:00+00:00,25.0,-208.0
2017-08-07 23:45:00+00:00,24.0,-180.0
2017-08-08 00:00:00+00:00,23.0,-236.0
2017-08-08 00:15:00+00:00,22.0,-248.0
2017-08-08 00:30:00+00:00,21.0,-160.0
2017-08-08 00:45:00+00:00,21.0,-236.0
2017-08-08 01:00:00+00:00,20.0,24.0
2017-08-08 01:15:00+00:00,20.0,8.0
2017-08-08 01:30:00+00:00,21.0,148.0
2017-08-08 01:45:00+00:00,21.0,56.0
2017-08-08 02:00:00+00:00,21.0,8.0
2017-08-08 02:15:00+00:00,21.0,8.0
2017-08-08 02:30:00+00:00,21.0,8.0
2017-08-08 02:45:00+00:00,21.0,8.0
2017-08-08 03:00:00+00:00,19.0,8.0
2017-08-08 03:15:00+00:00,19.0,8.0
2017-08-08 03:30:00+00:00,19.0,12.0
2017-08-08 03:45:00+00:00,19.0,36.0
2017-08-08 04:00:00+00:00,19.0,64.0
2017-08-08 04:15:00+00:00,19.0,36.0
2017-08-08 04:30:00+00:00,19.0,40.0
2017-08-08 04:45:00+00:00,19.0,32.0
2017-08-08 05:00:00+00:00,19.0,32.0
2017-08-08 05:15:00+00:00,19.0,64.0
2017-08-08 05:30:00+00:00,19.0,212.0
2017-08-08 05:45:00+00:00,21.0,328.0
2017-08-08 06:00:00+00:00,21.0,128.0
2017-08-08 06:15:00+00:00,22.0,48.0
2017-08-08 06:30:00+00:00,21.0,-152.0
2017-08-08 06:45:00+00:00,21.0,-12.0
2017-08-08 07:00:00+00:00,21.0,48.0
